name,year,award,movie,win
Andrea Leeds,1937,ACTRESS IN A SUPPORTING ROLE,Stage Door,False
Anne Shirley,1937,ACTRESS IN A SUPPORTING ROLE,Stella Dallas,False
Claire Trevor,1937,ACTRESS IN A SUPPORTING ROLE,Dead End,False
Dame May Whitty,1937,ACTRESS IN A SUPPORTING ROLE,Night Must Fall,False
Charles Boyer,1938,ACTOR,Algiers,False
James Cagney,1938,ACTOR,Angels with Dirty Faces,False
Robert Donat,1938,ACTOR,The Citadel,False
Leslie Howard,1938,ACTOR,Pygmalion,False
Spencer Tracy,1938,ACTOR,Boys Town,True
Walter Brennan,1938,ACTOR IN A SUPPORTING ROLE,Kentucky,True
John Garfield,1938,ACTOR IN A SUPPORTING ROLE,Four Daughters,False
Gene Lockhart,1938,ACTOR IN A SUPPORTING ROLE,Algiers,False
Robert Morley,1938,ACTOR IN A SUPPORTING ROLE,Marie Antoinette,False
Basil Rathbone,1938,ACTOR IN A SUPPORTING ROLE,If I Were King,False
Fay Bainter,1938,ACTRESS,White Banners,False
Bette Davis,1938,ACTRESS,Jezebel,True
Wendy Hiller,1938,ACTRESS,Pygmalion,False
Norma Shearer,1938,ACTRESS,Marie Antoinette,False
Margaret Sullavan,1938,ACTRESS,Three Comrades,False
Fay Bainter,1938,ACTRESS IN A SUPPORTING ROLE,Jezebel,True
Beulah Bondi,1938,ACTRESS IN A SUPPORTING ROLE,Of Human Hearts,False
Billie Burke,1938,ACTRESS IN A SUPPORTING ROLE,Merrily We Live,False
Spring Byington,1938,ACTRESS IN A SUPPORTING ROLE,You Can't Take It with You,False
Miliza Korjus,1938,ACTRESS IN A SUPPORTING ROLE,The Great Waltz,False
Robert Donat,1939,ACTOR,"Goodbye, Mr. Chips",True
Clark Gable,1939,ACTOR,Gone with the Wind,False
Laurence Olivier,1939,ACTOR,Wuthering Heights,False
Mickey Rooney,1939,ACTOR,Babes in Arms,False
James Stewart,1939,ACTOR,Mr. Smith Goes to Washington,False
Brian Aherne,1939,ACTOR IN A SUPPORTING ROLE,Juarez,False
Harry Carey,1939,ACTOR IN A SUPPORTING ROLE,Mr. Smith Goes to Washington,False
Brian Donlevy,1939,ACTOR IN A SUPPORTING ROLE,Beau Geste,False
Thomas Mitchell,1939,ACTOR IN A SUPPORTING ROLE,Stagecoach,True
Claude Rains,1939,ACTOR IN A SUPPORTING ROLE,Mr. Smith Goes to Washington,False
Bette Davis,1939,ACTRESS,Dark Victory,False
Irene Dunne,1939,ACTRESS,Love Affair,False
Greta Garbo,1939,ACTRESS,Ninotchka,False
Greer Garson,1939,ACTRESS,"Goodbye, Mr. Chips",False
Vivien Leigh,1939,ACTRESS,Gone with the Wind,True
Olivia de Havilland,1939,ACTRESS IN A SUPPORTING ROLE,Gone with the Wind,False
Geraldine Fitzgerald,1939,ACTRESS IN A SUPPORTING ROLE,Wuthering Heights,False
Hattie McDaniel,1939,ACTRESS IN A SUPPORTING ROLE,Gone with the Wind,True
Edna May Oliver,1939,ACTRESS IN A SUPPORTING ROLE,Drums along the Mohawk,False
Maria Ouspenskaya,1939,ACTRESS IN A SUPPORTING ROLE,Love Affair,False
Charles Chaplin,1940,ACTOR,The Great Dictator,False
Henry Fonda,1940,ACTOR,The Grapes of Wrath,False
Raymond Massey,1940,ACTOR,Abe Lincoln in Illinois,False
Laurence Olivier,1940,ACTOR,Rebecca,False
James Stewart,1940,ACTOR,The Philadelphia Story,True
Albert Basserman,1940,ACTOR IN A SUPPORTING ROLE,Foreign Correspondent,False
Walter Brennan,1940,ACTOR IN A SUPPORTING ROLE,The Westerner,True
William Gargan,1940,ACTOR IN A SUPPORTING ROLE,They Knew What They Wanted,False
Jack Oakie,1940,ACTOR IN A SUPPORTING ROLE,The Great Dictator,False
James Stephenson,1940,ACTOR IN A SUPPORTING ROLE,The Letter,False
Bette Davis,1940,ACTRESS,The Letter,False
Joan Fontaine,1940,ACTRESS,Rebecca,False
Katharine Hepburn,1940,ACTRESS,The Philadelphia Story,False
Ginger Rogers,1940,ACTRESS,Kitty Foyle,True
Martha Scott,1940,ACTRESS,Our Town,False
Judith Anderson,1940,ACTRESS IN A SUPPORTING ROLE,Rebecca,False
Jane Darwell,1940,ACTRESS IN A SUPPORTING ROLE,The Grapes of Wrath,True
Ruth Hussey,1940,ACTRESS IN A SUPPORTING ROLE,The Philadelphia Story,False
Barbara O'Neil,1940,ACTRESS IN A SUPPORTING ROLE,"All This, and Heaven Too",False
Marjorie Rambeau,1940,ACTRESS IN A SUPPORTING ROLE,Primrose Path,False
Gary Cooper,1941,ACTOR,Sergeant York,True
Cary Grant,1941,ACTOR,Penny Serenade,False
Walter Huston,1941,ACTOR,All That Money Can Buy,False
Robert Montgomery,1941,ACTOR,Here Comes Mr. Jordan,False
Orson Welles,1941,ACTOR,Citizen Kane,False
Walter Brennan,1941,ACTOR IN A SUPPORTING ROLE,Sergeant York,False
Charles Coburn,1941,ACTOR IN A SUPPORTING ROLE,The Devil and Miss Jones,False
Donald Crisp,1941,ACTOR IN A SUPPORTING ROLE,How Green Was My Valley,True
James Gleason,1941,ACTOR IN A SUPPORTING ROLE,Here Comes Mr. Jordan,False
Sydney Greenstreet,1941,ACTOR IN A SUPPORTING ROLE,The Maltese Falcon,False
Bette Davis,1941,ACTRESS,The Little Foxes,False
Olivia de Havilland,1941,ACTRESS,Hold Back the Dawn,False
Joan Fontaine,1941,ACTRESS,Suspicion,True
Greer Garson,1941,ACTRESS,Blossoms in the Dust,False
Barbara Stanwyck,1941,ACTRESS,Ball of Fire,False
Sara Allgood,1941,ACTRESS IN A SUPPORTING ROLE,How Green Was My Valley,False
Mary Astor,1941,ACTRESS IN A SUPPORTING ROLE,The Great Lie,True
Patricia Collinge,1941,ACTRESS IN A SUPPORTING ROLE,The Little Foxes,False
Teresa Wright,1941,ACTRESS IN A SUPPORTING ROLE,The Little Foxes,False
Margaret Wycherly,1941,ACTRESS IN A SUPPORTING ROLE,Sergeant York,False
James Cagney,1942,ACTOR,Yankee Doodle Dandy,True
Ronald Colman,1942,ACTOR,Random Harvest,False
Gary Cooper,1942,ACTOR,The Pride of the Yankees,False
Walter Pidgeon,1942,ACTOR,Mrs. Miniver,False
Monty Woolley,1942,ACTOR,The Pied Piper,False
William Bendix,1942,ACTOR IN A SUPPORTING ROLE,Wake Island,False
Van Heflin,1942,ACTOR IN A SUPPORTING ROLE,Johnny Eager,True
Walter Huston,1942,ACTOR IN A SUPPORTING ROLE,Yankee Doodle Dandy,False
Frank Morgan,1942,ACTOR IN A SUPPORTING ROLE,Tortilla Flat,False
Henry Travers,1942,ACTOR IN A SUPPORTING ROLE,Mrs. Miniver,False
Bette Davis,1942,ACTRESS,"Now, Voyager",False
Greer Garson,1942,ACTRESS,Mrs. Miniver,True
Katharine Hepburn,1942,ACTRESS,Woman of the Year,False
Rosalind Russell,1942,ACTRESS,My Sister Eileen,False
Teresa Wright,1942,ACTRESS,The Pride of the Yankees,False
Gladys Cooper,1942,ACTRESS IN A SUPPORTING ROLE,"Now, Voyager",False
Agnes Moorehead,1942,ACTRESS IN A SUPPORTING ROLE,The Magnificent Ambersons,False
Susan Peters,1942,ACTRESS IN A SUPPORTING ROLE,Random Harvest,False
Dame May Whitty,1942,ACTRESS IN A SUPPORTING ROLE,Mrs. Miniver,False
Teresa Wright,1942,ACTRESS IN A SUPPORTING ROLE,Mrs. Miniver,True
Humphrey Bogart,1943,ACTOR,Casablanca,False
Gary Cooper,1943,ACTOR,For Whom the Bell Tolls,False
Paul Lukas,1943,ACTOR,Watch on the Rhine,True
Walter Pidgeon,1943,ACTOR,Madame Curie,False
Mickey Rooney,1943,ACTOR,The Human Comedy,False
Charles Bickford,1943,ACTOR IN A SUPPORTING ROLE,The Song of Bernadette,False
Charles Coburn,1943,ACTOR IN A SUPPORTING ROLE,The More the Merrier,True
J. Carrol Naish,1943,ACTOR IN A SUPPORTING ROLE,Sahara,False
Claude Rains,1943,ACTOR IN A SUPPORTING ROLE,Casablanca,False
Akim Tamiroff,1943,ACTOR IN A SUPPORTING ROLE,For Whom the Bell Tolls,False
Jean Arthur,1943,ACTRESS,The More the Merrier,False
Ingrid Bergman,1943,ACTRESS,For Whom the Bell Tolls,False
Joan Fontaine,1943,ACTRESS,The Constant Nymph,False
